index,time,mp1,mp2,mp3,mp4,mp5,mp6,mp7,mt1,mt2,mt3,mt4,mt5,mt6,mt7,dt
25,25,0.05,2.39656e-07,5.87227e-05,2.33093e-05,-2.49272e-05,5.6278e-05,5.63858e-05,-4.91953e-05,1.44289,0.676436,0.182818,0.74337,-0.144381,0.52132,0.17789,0.002
26,26,0.052,2.39656e-07,5.87826e-05,2.33093e-05,-2.49272e-05,5.6278e-05,5.63858e-05,-4.91353e-05,1.42232,0.661004,0.181474,0.737993,-0.142621,0.522321,0.177222,0.002
27,27,0.054,2.99651e-07,5.87227e-05,2.33093e-05,-2.5047e-05,5.64696e-05,5.62659e-05,-4.91953e-05,1.41974,0.673864,0.178785,0.732616,-0.145262,0.521654,0.177222,0.002
28,28,0.056,2.39656e-07,5.87227e-05,2.33093e-05,-2.5047e-05,5.64696e-05,5.63858e-05,-4.9315e-05,1.44289,0.653288,0.184162,0.744714,-0.148783,0.52399,0.177556,0.002
29,29,0.058,2.39656e-07,5.87227e-05,2.33093e-05,-2.5047e-05,5.6278e-05,5.62659e-05,-4.91953e-05,1.43775,0.671292,0.182818,0.74337,-0.146142,0.523656,0.176888,0.002
30,30,0.06,2.99651e-07,5.87826e-05,2.33093e-05,-2.51669e-05,5.6278e-05,5.62659e-05,-4.94349e-05,1.41203,0.658432,0.177441,0.735305,-0.146142,0.522989,0.175887,0.002
31,31,0.062,2.39656e-07,5.87227e-05,2.33093e-05,-2.51669e-05,5.64696e-05,5.62659e-05,-4.94948e-05,1.43003,0.645572,0.184162,0.744714,-0.147903,0.52132,0.175887,0.002
32,32,0.064,2.99651e-07,5.87227e-05,2.33093e-05,-2.5107e-05,5.64696e-05,5.62659e-05,-4.94948e-05,1.42489,0.65586,0.176097,0.747403,-0.144381,0.522655,0.178891,0.002
33,33,0.066,1.79769e-07,5.87227e-05,2.32494e-05,-2.51669e-05,5.64696e-05,5.6146e-05,-4.94349e-05,1.43003,0.632712,0.177441,0.748747,-0.149664,0.52132,0.17789,0.002
34,34,0.068,2.39656e-07,5.87227e-05,2.33093e-05,-2.51669e-05,5.64696e-05,5.62659e-05,-4.96147e-05,1.44289,0.645572,0.178785,0.744714,-0.145262,0.52132,0.178891,0.002
35,35,0.07,2.39656e-07,5.87826e-05,2.32494e-05,-2.52868e-05,5.64696e-05,5.6146e-05,-4.94349e-05,1.43003,0.643,0.181474,0.747403,-0.144381,0.520986,0.176888,0.002
36,36,0.072,2.39656e-07,5.87826e-05,2.31894e-05,-2.52868e-05,5.64696e-05,5.6146e-05,-4.96147e-05,1.44546,0.627568,0.181474,0.750091,-0.143501,0.520986,0.177556,0.002
37,37,0.074,1.79769e-07,5.88426e-05,2.32494e-05,-2.52868e-05,5.64696e-05,5.6146e-05,-4.94349e-05,1.42489,0.622424,0.178785,0.751436,-0.143501,0.519985,0.176555,0.002
38,38,0.076,2.39656e-07,5.88426e-05,2.31894e-05,-2.54065e-05,5.64696e-05,5.6146e-05,-4.96147e-05,1.43003,0.632712,0.174752,0.75278,-0.147023,0.519651,0.176888,0.002
39,39,0.078,1.79769e-07,5.89623e-05,2.32494e-05,-2.54065e-05,5.66614e-05,5.6146e-05,-4.96147e-05,1.42232,0.624996,0.181474,0.755468,-0.151424,0.520986,0.176555,0.002
40,40,0.08,1.79769e-07,5.89623e-05,2.31894e-05,-2.54065e-05,5.66614e-05,5.6146e-05,-4.94349e-05,1.43518,0.612136,0.182818,0.750091,-0.158467,0.520653,0.175553,0.002
41,41,0.082,2.99651e-07,5.89623e-05,2.32494e-05,-2.54065e-05,5.66614e-05,5.59664e-05,-4.96147e-05,1.4146,0.596704,0.181474,0.748747,-0.147023,0.522321,0.177556,0.002
42,42,0.084,2.99651e-07,5.89623e-05,2.32494e-05,-2.54065e-05,5.66614e-05,5.6146e-05,-4.97346e-05,1.42746,0.599276,0.172064,0.756813,-0.152305,0.523656,0.176221,0.002
43,43,0.086,1.79769e-07,5.90223e-05,2.31894e-05,-2.54065e-05,5.67572e-05,5.59664e-05,-4.96147e-05,1.41203,0.601848,0.176097,0.751436,-0.155826,0.520319,0.175887,0.002
44,44,0.088,1.79769e-07,5.90822e-05,2.31894e-05,-2.54664e-05,5.66614e-05,5.59664e-05,-4.97346e-05,1.42489,0.588988,0.178785,0.747403,-0.148783,0.52132,0.174552,0.002
45,45,0.09,1.79769e-07,5.90822e-05,2.31894e-05,-2.54664e-05,5.67572e-05,5.59664e-05,-4.97346e-05,1.42746,0.594132,0.180129,0.756813,-0.152305,0.520653,0.174886,0.002
46,46,0.092,2.39656e-07,5.92021e-05,2.31894e-05,-2.54664e-05,5.67572e-05,5.59664e-05,-4.97346e-05,1.43003,0.581272,0.180129,0.763534,-0.154066,0.519985,0.174886,0.002
47,47,0.094,1.79769e-07,5.92021e-05,2.31894e-05,-2.54664e-05,5.6949e-05,5.59664e-05,-4.96147e-05,1.4146,0.586416,0.174752,0.76219,-0.157587,0.519318,0.17522,0.002
48,48,0.096,2.39656e-07,5.9262e-05,2.32494e-05,-2.54664e-05,5.70449e-05,5.59664e-05,-4.97346e-05,1.42489,0.596704,0.174752,0.758157,-0.158467,0.520986,0.175553,0.002
49,49,0.098,2.39656e-07,5.93219e-05,2.32494e-05,-2.54664e-05,5.70449e-05,5.59664e-05,-4.96147e-05,1.43518,0.583844,0.178785,0.755468,-0.159348,0.519651,0.176888,0.002
50,50,0.1,1.79769e-07,5.93819e-05,2.32494e-05,-2.54664e-05,5.70449e-05,5.59664e-05,-4.97346e-05,1.42746,0.59156,0.174752,0.760845,-0.160228,0.520319,0.175887,0.002
51,51,0.102,1.79769e-07,5.95017e-05,2.31894e-05,-2.55863e-05,5.70449e-05,5.58465e-05,-4.96147e-05,1.41974,0.5787,0.173408,0.759501,-0.158467,0.519985,0.174552,0.002
52,52,0.104,1.79769e-07,5.96215e-05,2.33093e-05,-2.55863e-05,5.73325e-05,5.59664e-05,-4.96147e-05,1.41974,0.55298,0.172064,0.759501,-0.161109,0.520986,0.173217,0.002
53,53,0.106,1.79769e-07,5.96814e-05,2.33093e-05,-2.57062e-05,5.71409e-05,5.59664e-05,-4.97346e-05,1.42232,0.568412,0.177441,0.760845,-0.159348,0.519651,0.171882,0.002
54,54,0.108,1.79769e-07,5.96215e-05,2.33093e-05,-2.54664e-05,5.73325e-05,5.59664e-05,-4.94349e-05,1.4146,0.581272,0.176097,0.754124,-0.157587,0.519318,0.173217,0.002
55,55,0.11,1.79769e-07,5.99211e-05,2.34292e-05,-2.59458e-05,5.73325e-05,5.59664e-05,-4.96147e-05,1.43003,0.550408,0.176097,0.760845,-0.162869,0.520653,0.174886,0.002
56,56,0.112,1.79769e-07,6.01608e-05,2.33093e-05,-2.60057e-05,5.75243e-05,5.58465e-05,-4.94349e-05,1.42489,0.545264,0.177441,0.759501,-0.168152,0.518984,0.173885,0.002
57,57,0.114,1.79769e-07,6.02207e-05,2.33093e-05,-2.60057e-05,5.75243e-05,5.58465e-05,-4.96147e-05,1.42232,0.542692,0.172064,0.763534,-0.16463,0.520319,0.174218,0.002
58,58,0.116,1.79769e-07,6.04005e-05,2.33093e-05,-2.61256e-05,5.77159e-05,5.58465e-05,-4.94349e-05,1.43518,0.54012,0.17072,0.756813,-0.169032,0.519651,0.171882,0.002
59,59,0.118,1.79769e-07,6.04604e-05,2.34292e-05,-2.61256e-05,5.79078e-05,5.58465e-05,-4.91953e-05,1.41717,0.524688,0.166687,0.760845,-0.168152,0.517983,0.171548,0.002
60,60,0.12,1.79769e-07,6.076e-05,2.34292e-05,-2.61256e-05,5.79078e-05,5.58465e-05,-4.88956e-05,1.42746,0.5144,0.172064,0.763534,-0.172553,0.520319,0.16721,0.002
